moa_entity_name,moa_url,moa_description,nycgo_record_id,nycgo_name,similarity_score,match_confidence,needs_manual_review,notes
Age-friendly Commission,,"The Age-friendly New York City Commission is a public-private partnership that works to optimize the health and social and economic participation of all New Yorkers, regardless of age, class, race, fu",NYC_GOID_000010,Age Friendly Commission,0.957,high,no,
Archival Review Board,,The Archival Review Board sets policies around which City documents are to be retained and archived.,NYC_GOID_100013,Archival Review Board,1.0,exact,no,
"Archives, Reference and Research Advisory Board",,"The Archives, Reference and Research Advisory Board advises the Commissioner of the Department of Records and Information Systems on matters regarding the development of municipal archives, reference ",NYC_GOID_000014,"Archives, Reference and Research Advisory Board",1.0,exact,no,
Atlantic Yards Community Development Corporation,,The Atlantic Yards Community Development Corporation was developed by the Empire State Development Corporation to improve oversight and monitoring of the Atlantic Yards Project.,NYC_GOID_000016,Atlantic Yards Community Development Corporation,1.0,exact,no,
Banking Commission - Department of Finance,http://www1.nyc.gov/site/finance/about/banking-commission.page,"The Banking Commission designates the banks to hold City funds; makes an annual recommendation to the City Council on the discount rate for early payments of real estate taxes, and the interest rate t",NYC_GOID_000145,Department of Finance,0.667,low,yes,
Board of Collective Bargaining (Office of Collective Bargaining),https://www.ocb-nyc.org/,"The Board of Collective Bargaining establishes broad labor policy for the City of New York, and decides cases on grievances, settlement, bargaining issues and impasse panels.",NYC_GOID_000354,Office of Collective Bargaining,0.653,low,yes,
Board of Correction,https://www1.nyc.gov/site/boc/index.page,The Board of Correction provides independent oversight and regulation over the Department of Correction.,NYC_GOID_000021,Board of Correction,1.0,exact,no,
Board of Education Retirement System,https://www.bers.nyc.gov/,"The New York City Board of Education Retirement System was founded on August 1, 1921 to provide retirement benefits for civil service employees permanently employed by the City and School District of ",NYC_GOID_000022,Board of Education Retirement System,1.0,exact,no,
Board of Health,https://www1.nyc.gov/site/doh/about/about-doh/board-of-health.page,"The Board of Health promulgates the Health Code and provides services to promote, maintain, and enhance the health of New York City residents.",NYC_GOID_000024,Board of Health,1.0,exact,no,
Board of Standards & Appeals,https://www1.nyc.gov/site/bsa/index.page,The Board of Standards and Appeals serves as an appeals Board for determinations of the Fire Department and Buildings Department on laws concerning building and land use.,NYC_GOID_000025,Board of Standards and Appeals,0.931,medium,no,
Brooklyn Bridge Park Corporation,https://www.brooklynbridgepark.org/about/,"Announced in a press release on March 10, 2010 as the Brooklyn Bridge Park Operating Entity, the Brooklyn Bridge Park Corporation is responsible for the planning, construction, maintenance and operati",NYC_GOID_000034,Brooklyn Bridge Park Corporation,1.0,exact,no,
Brooklyn Bridge Park Development Corporation - Board of Directors,https://esd.ny.gov/brooklyn-bridge-park-development-corporation-subsidiary,"The Brooklyn Bridge Park Development Corporation is charged with the planning, design, and building of an 85-acre, 1.3-mile world-class, self-sustaining park. It connects the citizens of Brooklyn to t",NYC_GOID_000035,Brooklyn Bridge Park Development Corporation,0.807,medium,no,
Brooklyn Navy Yard Development Corp,https://brooklynnavyyard.org/,"The Brooklyn Navy Yard Corporation operates the Navy Yard under a long-term lease with the City, and promotes urban renewal, employment, economic development including manufacturing and services. The ",NYC_GOID_000037,Brooklyn Navy Yard Development Corporation,0.909,medium,no,
Brooklyn Public Library - Board of Trustees,https://www.bklynlibrary.org/about/trustees,The Brooklyn Public Library Board of Trustees oversees library management and determines library policies.,NYC_GOID_000038,Brooklyn Public Library,0.697,low,yes,
Build NYC Resource Corporation,https://edc.nyc/build-nyc,"Build NYC Resource Corporation, a local development corporation, is administered by NYCEDC and assists qualified projects in obtaining tax-exempt and taxable bond financing. As a conduit bond issuer, ",NYC_GOID_100014,Build NYC Resource Corporation,1.0,exact,no,
Campaign Finance Board,http://www.nyccfb.info/,The Campaign Finance Board provides public funding to candidates for City elective offices who choose to participate in the City's public financing program and monitors candidates' campaign contributi,NYC_GOID_000042,Campaign Finance Board,1.0,exact,no,
Central Park Conservancy - Board of Trustees,https://www.centralparknyc.org/,The Central Park Conservancy is a private not-for-profit organization founded in 1980 that manages Central Park under a contract with the New York City Department of Parks and Recreation.,NYC_GOID_000048,Central Park Conservancy,0.706,low,yes,
Child Fatality Review Advisory Team,,"The Child Fatality Review Advisory Team (CFRAT) works to better understand unnatural deaths among children and to identify strategies for injury prevention. The CFRAT reviews aggregate data, not indiv",NYC_GOID_000058,Child Fatality Review Advisory Team,1.0,exact,no,
City Planning Commission,https://www1.nyc.gov/site/planning/about/commission.page,"The City Planning Commission is responsible for the conduct of planning relating to the orderly growth and development of the City, including adequate and appropriate resources for the housing, busine",NYC_GOID_000098,City Planning Commission,1.0,exact,no,
City University Construction Fund - Board of Trustees,https://www.cuny.edu/about/administration/offices/fpcm/cucf/,The City University Construction Fund is the vehicle through which facilities are provided for senior and community colleges and graduate institutions of The City University of New York.,NYC_GOID_000100,City University Construction Fund,0.767,low,yes,
City University of New York - Board of Trustees,https://www.cuny.edu/about/trustees/the-board-of-trustees/,"The CUNY Board of Trustees is the governing board of the CUNY public higher education complex which spans the five boroughs and encompasses six community colleges, ten senior colleges, a technical col",NYC_GOID_000099,City University of New York,0.73,low,yes,
Civil Service Commission,https://www1.nyc.gov/site/csc/index.page,"The Civil Service Commission (""CSC"") is an independent, ""quasi-judicial"" agency authorized to hear and decide appeals from determinations made under sections 50 and 76 of the New York State Civil Serv",NYC_GOID_000103,Civil Service Commission,1.0,exact,no,
Civil Service Commission - Screening Committee,,"The Civil Service Screening Committee submits to the Mayor a list of nominees, which shall include persons with knowledge or experience of the civil service system, or personnel management, or compens",NYC_GOID_000103,Civil Service Commission,0.686,low,yes,
Civilian Complaint Review Board,https://www1.nyc.gov/site/ccrb/index.page,"The New York City Civilian Complaint Review Board (CCRB) is an independent agency. It is empowered to receive, investigate, mediate, hear, make findings, and recommend action on complaints against New",NYC_GOID_000105,Civilian Complaint Review Board,1.0,exact,no,
Climate Change Adaptation Task Force,,The Climate Change Adaptation Task Force is responsible for reviewing the climate change projections as recommended by the New York City Panel on Climate Change and advising the City on adaptation.,NYC_GOID_000106,Climate Change Adaptation Taskforce,0.986,high,no,
Commission on Gender Equity,,"The Commission on Gender Equity will work to advance gender equity through public safety, economic mobility, and equality by focusing on the needs of women and girls, regardless of race, ethnicity, cl",NYC_GOID_000111,Commission on Gender Equity,1.0,exact,no,
Commission on Human Rights,https://www1.nyc.gov/site/cchr/index.page,"The Commission on Human Rights, the governing board of the city office, works to eliminate discrimination on the basis of race, color, creed, gender, marital status, age, sexual orientation and physic",NYC_GOID_000096,City Commission on Human Rights,0.912,medium,no,
Commission on Public Information and Communication,,"In addition to publication of the Public Data Directory, the Commission on Public Information and Communication's responsibilities include education and outreach to assist the public in obtaining acce",NYC_GOID_000112,Commission on Public Information and Communication,1.0,exact,no,
