record_id,name,name_alphabetized,operational_status,organization_type,description,url,alternate_or_former_names,acronym,alternate_or_former_acronyms,budget_code,open_datasets_url,founding_year,principal_officer_full_name,principal_officer_given_name,principal_officer_middle_name_or_initial,principal_officer_family_name,principal_officer_suffix,principal_officer_name,principal_officer_title,principal_officer_contact_url,notes,instance_of,name_nycgov_agency_list,name_nycgov_mayors_office,name_nyc_open_data_portal,name_oda,name_cpo,name_wegov,name_greenbook,name_checkbook,name_hoo,name_ops,in_org_chart,reports_to,reporting_notes,jan_2025_org_chart,listed_in_nyc_gov_agency_directory
NYC_GOID_000000,NYC311,NYC311,Active,Division,,https://portal.311.nyc.gov/,311,311,,,,2003,Joseph Morrisroe,Joseph,,Morrisroe,,Joseph Morrisroe,Deputy Commissioner,,,,,,,,,NYC 311,,,,311,TRUE,Office of Technology and Innovation,,TRUE,TRUE
NYC_GOID_000001,Accessory Sign Regulation Interagency Task Force,Accessory Sign Regulation Interagency Task Force,Dissolved,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accessory Sign Regulation Interagency Task Force,,,,FALSE,FALSE
NYC_GOID_000002,Administration for Children's Services,"Children's Services, Administration for",Active,Mayoral Agency,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",https://www.nyc.gov/site/acs/index.page,,ACS,,068,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Administration+for+Children%27s+Services+%28ACS%29,1996,Jess Dannhauser,Jess,,Dannhauser,,Jess Dannhauser,Commissioner,https://www.nyc.gov/site/acs/about/contact-acs.page,Test edit from review interface - Sprint 1 validation,,"Children's Services, Administration for (ACS)","Children's Services, Administration for (ACS)",Administration for Children's Services (ACS),Administration for Children's Services (ACS),Administration for Children's Services,Administration for Children's Services,"Children's Services, Administration for",Administration for Children's Services,"Children's Services, Administration for (ACS)",Administration for Children's Services,TRUE,Deputy Mayor for Health and Human Services,,TRUE,TRUE
NYC_GOID_000003,Advisory Board on Implementation of Racial Justice Charter Amendments,"Implementation of Racial Justice Charter Amendments, Advisory Board on",Verification Pending,Advisory or Regulatory Organization,,,,,,,,,Sideya Sherman,Sideya,,Sherman,,Sideya Sherman,Chief Equity Officer and Commissioner,,,,,,,,,,,,,Advisory Board on Implementation of Racial Justice Charter Amendments,,,,FALSE,FALSE
NYC_GOID_000004,Advisory Commission on Property Tax Reform,"Property Tax Reform, Advisory Commission on",Dissolved,Advisory or Regulatory Organization,"This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",https://www.nyc.gov/site/propertytaxreform/index.page,,,,,,2018,Marc V. Shaw,Marc,V.,Shaw,,Marc V. Shaw,Chair,,,,"Property Tax Reform, Advisory Commission on","Property Tax Reform, Advisory Commission on",,,,,,,"Property Tax Reform, Advisory Commission on",Advisory Commission on Property Tax Reform,,,,FALSE,FALSE
NYC_GOID_000005,Advisory Committee on Female Genital Mutilation and Cutting,"Female Genital Mutilation and Cutting, Advisory Committee on",Verification Pending,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Committee on Female Genital Mutilation and Cutting,,,,FALSE,FALSE
NYC_GOID_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion,"Center for Workplace Accessibility and Inclusion, Advisory Council to",Verification Pending,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Council to the Center for Workplace Accessibility and Inclusion,,,,FALSE,FALSE
NYC_GOID_000007,Advisory Council to the Department for the Aging,"Aging, Advisory Council to the Department for the",Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/dfta/about/advisory-council.page,,,,,,,Lorraine Cortés-Vázquez,Lorraine,,Cortés-Vázquez,,Lorraine Cortés-Vázquez,Commissioner,,,,,,,,,,,,,,,,,FALSE,TRUE
NYC_GOID_000008,Advisory Council for the NYC Civil Court Housing Part,"NYC Civil Court Housing Part, Advisory Council for",Active,Advisory or Regulatory Organization,,https://ww2.nycourts.gov/courts/nyc/housing/advisory.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,Advisory Council for the NYC Civil Court Housing Part,,,,FALSE,TRUE
NYC_GOID_000009,Advisory Council on Procurement Lobbying,"Procurement Lobbying, Advisory Council on",Active,Advisory or Regulatory Organization,,https://ogs.ny.gov/ACPL/,,ACPL,,,,,,,,,,,,,,,,,,,,,,,,Advisory Council on Procurement Lobbying,,,,FALSE,FALSE
