record_id,record_name,field_name,new_value,justification,evidence_url
NEW,"Mayor's Office to Combat Antisemitism",name,"Mayor's Office to Combat Antisemitism","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-new-executive-director-of-mayor-s-office"
NEW,"Mayor's Office to Combat Antisemitism",name_alphabetized,"Combat Antisemitism, Mayor's Office to","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-new-executive-director-of-mayor-s-office"
NEW,"Mayor's Office to Combat Antisemitism",operational_status,"Active","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-new-executive-director-of-mayor-s-office"
NEW,"Mayor's Office to Combat Antisemitism",organization_type,"Mayoral Office","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-new-executive-director-of-mayor-s-office"
NEW,"Mayor's Office to Combat Antisemitism",in_org_chart,"TRUE","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-new-executive-director-of-mayor-s-office"
NEW,"Mayor's Office to Combat Antisemitism",principal_officer_full_name,"Phylisa Wisdom","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-new-executive-director-of-mayor-s-office"
NEW,"Mayor's Office to Combat Antisemitism",principal_officer_title,"Executive Director","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-new-executive-director-of-mayor-s-office"
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_full_name,"Lisa Gelobter","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_title,"Chief Technology Officer and Commissioner","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_first_name,"Lisa","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_last_name,"Gelobter","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000284,"Mayor's Office for People with Disabilities",principal_officer_full_name,"Nisha Agarwal","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000284,"Mayor's Office for People with Disabilities",principal_officer_first_name,"Nisha","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000284,"Mayor's Office for People with Disabilities",principal_officer_last_name,"Agarwal","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000135,"Department for the Aging",principal_officer_full_name,"Lisa Scott-McKenzie","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000135,"Department for the Aging",principal_officer_first_name,"Lisa","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
NYC_GOID_000135,"Department for the Aging",principal_officer_last_name,"Scott-McKenzie","Mayoral announcement","https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-"
