ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-06-03T16:09:29.111537,NYC_GOID_000000,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
2,2025-06-03T16:09:29.111686,NYC_GOID_000001,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
3,2025-06-03T16:09:29.111794,NYC_GOID_000003,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
4,2025-06-03T16:09:29.111874,NYC_GOID_000004,PrincipalOfficerName_SplitReview,Marc V. Shaw,N/A,System_NameSplitRule,PrincipalOfficerName ('Marc V. Shaw') did not split into two parts; requires manual review.,MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
5,2025-06-03T16:09:29.111950,NYC_GOID_000005,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
6,2025-06-03T16:09:29.112021,NYC_GOID_000006,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
7,2025-06-03T16:09:29.112092,NYC_GOID_000007,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
8,2025-06-03T16:09:29.112164,NYC_GOID_000008,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
9,2025-06-03T16:09:29.112234,NYC_GOID_000009,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
10,2025-06-03T16:09:29.112304,NYC_GOID_000010,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
11,2025-06-03T16:09:29.112375,NYC_GOID_000011,PrincipalOfficerName_SplitReview,N/A,N/A,System_NameSplitRule,"PrincipalOfficerName ('nan') is effectively empty, None, or not a string after initial processing; requires manual review.",MyName_Phase6_SupplementalRun_SchemaVerified,name_split_review_needed
