ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-05-30T15:45:01.420583,NYC_GOID_000217,Name,Mayor’s Office of Housing Recovery Operations,Mayor's Office of Housing Recovery Operations,Agency_Name_QA_Edits.csv,"Fix ""Mayor's Office of Housing Recovery Operations""",MyName_Phase6_FullQARefactoredRun,direct_set
2,2025-05-30T15:45:01.422463,NYC_GOID_000000,Name,311,NYC311,Agency_Name_QA_Edits.csv,"311 refers to itself as ""NYC311"" on its website",MyName_Phase6_FullQARefactoredRun,direct_set
3,2025-05-30T15:45:01.423615,NYC_GOID_000118,Name,N/A,N/A,Agency_Name_QA_Edits.csv,"I know this has gone back and forth, but I think we either remove the singular Community Board entirely, or replace with the listing of each individual community board.",MyName_Phase6_FullQARefactoredRun,policy_query
4,2025-05-30T15:45:01.424211,NYC_GOID_000029,Description,N/A,N/A,Agency_Name_QA_Edits.csv,Why is Queens BP the only BP with a description?,MyName_Phase6_FullQARefactoredRun,policy_query
5,2025-05-30T15:45:01.424581,NYC_GOID_000050,Description,N/A,N/A,Agency_Name_QA_Edits.csv,"Description begins with ""This site is up for historical purposes only."" which makes it look inactive",MyName_Phase6_FullQARefactoredRun,policy_query
6,2025-05-30T15:45:01.425189,NYC_GOID_000312,AlternativeNames,N/A,N/A,Agency_Name_QA_Edits.csv,Mistakenly populated field - Children's Cabinet is unrelated to NYC & Company,MyName_Phase6_FullQARefactoredRun,policy_query
7,2025-05-30T15:45:01.425411,NYC_GOID_000193,Acronym,,FDM,Agency_Name_QA_Edits.csv,FDM,MyName_Phase6_FullQARefactoredRun,direct_set
8,2025-05-30T15:45:01.425656,NYC_GOID_000248,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,MAYORS FUND is not an acronym,MyName_Phase6_FullQARefactoredRun,policy_query
9,2025-05-30T15:45:01.425873,NYC_GOID_000318,Acronym,HH,H+H,Agency_Name_QA_Edits.csv,H+H rather than HH,MyName_Phase6_FullQARefactoredRun,direct_set
10,2025-05-30T15:45:01.426181,NYC_GOID_000234,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,PANY for Kings County Public Administrator appears to be an error,MyName_Phase6_FullQARefactoredRun,policy_query
11,2025-05-30T15:45:01.426460,NYC_GOID_000387,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,"PEP is used, including on linked website",MyName_Phase6_FullQARefactoredRun,policy_query
12,2025-05-30T15:45:01.426767,NYC_GOID_000277,AlternativeAcronyms,N/A,N/A,Agency_Name_QA_Edits.csv,Is this an error? AJC for Mayor's Office of Special Enforcement?,MyName_Phase6_FullQARefactoredRun,policy_query
13,2025-05-30T15:45:01.427258,NYC_GOID_000276,AlternativeAcronyms,N/A,N/A,Agency_Name_QA_Edits.csv,"Mayor's Office of Policy and Planning and Delivery is an alternative name, not an alternative acronym",MyName_Phase6_FullQARefactoredRun,policy_query
14,2025-05-30T15:45:01.427570,NYC_GOID_100001,OrganizationType,"Advisory, Oversight, or Regulatory Body",Advisory or Regulatory Organization,Agency_Name_QA_Edits.csv,Change value to 'Advisory or Regulatory Organization',MyName_Phase6_FullQARefactoredRun,direct_set
15,2025-05-30T15:45:01.428578,NYC_GOID_000252,PrincipalOfficerTitle,Deputy Executive Director,Executive Director,Agency_Name_QA_Edits.csv,Carson Hicks is now Executive Director,MyName_Phase6_FullQARefactoredRun,direct_set
16,2025-05-30T15:45:01.428844,NYC_GOID_000260,PrincipalOfficerTitle,Director,Senior Executive Director,Agency_Name_QA_Edits.csv,Title is currently Senior Executive Director,MyName_Phase6_FullQARefactoredRun,direct_set
17,2025-05-30T15:45:01.429146,NYC_GOID_000238,PrincipalOfficerTitle,Acting Corporation Counsel of the City of New York,Corporation Counsel of the City of New York,Agency_Name_QA_Edits.csv,"Removed 'Acting' prefix from 'Acting Corporation Counsel of the City of New York' to get 'Corporation Counsel of the City of New York'. Original feedback: 'Confirmed,so no longer Acting'",MyName_Phase6_FullQARefactoredRun,remove_acting_prefix
18,2025-05-30T15:45:01.429405,NYC_GOID_000268,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Jose Bayona has left the City,MyName_Phase6_FullQARefactoredRun,policy_query
19,2025-05-30T15:45:01.429652,NYC_GOID_000276,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Betsy MacLean has left the City,MyName_Phase6_FullQARefactoredRun,policy_query
20,2025-05-30T15:45:01.429947,NYC_GOID_100007,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Ryan Birchmeier has left the City,MyName_Phase6_FullQARefactoredRun,policy_query
21,2025-05-30T15:45:01.430461,NYC_GOID_000260,PrincipalOfficerContactURL,Non-existant,,Agency_Name_QA_Edits.csv,"Remove value of ""Non-existant""",MyName_Phase6_FullQARefactoredRun,blank_value
22,2025-05-30T15:45:01.430967,NYC_GOID_000166,FoundingYear,N/A,N/A,Agency_Name_QA_Edits.csv,We should be able to find the press release when Fabien Levy was made a DM,MyName_Phase6_FullQARefactoredRun,policy_query
23,2025-05-30T15:45:01.431316,NYC_GOID_000112,FoundingYear,N/A,N/A,Agency_Name_QA_Edits.csv,"As an Open Data Ambassador, I'm certain that COPIC has a founding year 😉",MyName_Phase6_FullQARefactoredRun,policy_query
