record_id,record_name,field_name,action,justification,evidence_url
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_full_name,"Set to ""Ruby Choi""","OTI email announcement",""
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_title,"Set to ""Acting Chief Technology Officer (CTO)""","OTI email announcement",""
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_given_name,"Set to ""Ruby""","OTI email announcement",""
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_family_name,"Set to ""Choi""","OTI email announcement",""
NYC_GOID_000246,"Chief of Staff",principal_officer_full_name,"Set to ""Elle Bisgaard-Church""","Name Correction",""
NYC_GOID_000246,"Chief of Staff",principal_officer_given_name,"Set to ""Elle""","Name Correction",""
NYC_GOID_000246,"Chief of Staff",principal_officer_family_name,"Set to ""Bisgaard-Church""","Name Correction",""
NYC_GOID_000166,"Deputy Mayor for Communications",operational_status,"Set to ""Inactive""","Mayoral administration change",""
NYC_GOID_000161,"Deputy Mayor for Health and Human Services",operational_status,"Set to ""Inactive""","Mayoral administration change",""
NYC_GOID_000162,"Deputy Mayor of Housing Economic and Workforce Development",operational_status,"Set to ""Inactive""","Mayoral administration change",""
NYC_GOID_000163,"Deputy Mayor for Operations",operational_status,"Set to ""Inactive""","Mayoral administration change",""
NYC_GOID_000164,"Deputy Mayor for Public Safety",operational_status,"Set to ""Inactive""","Mayoral administration change",""
NYC_GOID_000165,"Deputy Mayor for Strategic Initiatives",operational_status,"Set to ""Inactive""","Mayoral administration change",""
