ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-06-03T13:26:35.129368,NYC_GOID_000026,Description,,"""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",MyName_Phase6_PathFix,direct_set
2,2025-06-03T13:26:35.129691,NYC_GOID_000027,Description,,"""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",MyName_Phase6_PathFix,direct_set
3,2025-06-03T13:26:35.129943,NYC_GOID_000028,Description,,"""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",MyName_Phase6_PathFix,direct_set
4,2025-06-03T13:26:35.130183,NYC_GOID_000029,Description,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,"""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",MyName_Phase6_PathFix,direct_set
5,2025-06-03T13:26:35.130419,NYC_GOID_000030,Description,,"""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",supplemental_edits_v1.csv,"Set Description to ""The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.""",MyName_Phase6_PathFix,direct_set
6,2025-06-03T13:26:35.130641,NYC_GOID_000240,Name,Loft Board,"""New York City Loft Board""",supplemental_edits_v1.csv,"Set Name to ""New York City Loft Board""",MyName_Phase6_PathFix,direct_set
7,2025-06-03T13:26:35.130860,NYC_GOID_000278,Description,Community Action Board – Dept. of Youth and Community Development,"""""",supplemental_edits_v1.csv,"Set Description to """"",MyName_Phase6_PathFix,direct_set
8,2025-06-03T13:26:35.131083,NYC_GOID_000050,Description,"This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.","""The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.""",supplemental_edits_v1.csv,"Set Description to ""The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.""",MyName_Phase6_PathFix,direct_set
9,2025-06-03T13:26:35.131299,NYC_GOID_000312,AlternateOrFormerNames,NYC & Company,"""""",supplemental_edits_v1.csv,"Set AlternateOrFormerNames to """"",MyName_Phase6_PathFix,direct_set
10,2025-06-03T13:26:35.131514,NYC_GOID_000248,Acronym,MAYORS FUND,"""""",supplemental_edits_v1.csv,"Set Acronym to """"",MyName_Phase6_PathFix,direct_set
11,2025-06-03T13:26:35.131728,NYC_GOID_000234,Acronym,PANY,"""""",supplemental_edits_v1.csv,"Set Acronym to """"",MyName_Phase6_PathFix,direct_set
12,2025-06-03T13:26:35.131944,NYC_GOID_000387,Acronym,,"""PEP""",supplemental_edits_v1.csv,"Set Acronym to ""PEP""",MyName_Phase6_PathFix,direct_set
13,2025-06-03T13:26:35.132157,NYC_GOID_000387,AlternateOrFormerAcronyms,,"""""",supplemental_edits_v1.csv,"Set AlternateOrFormerAcronyms to """"",MyName_Phase6_PathFix,direct_set
14,2025-06-03T13:26:35.132371,NYC_GOID_000276,AlternateOrFormerAcronyms,Mayor's Office of Policy and Planning and Delivery,"""""",supplemental_edits_v1.csv,"Set AlternateOrFormerAcronyms to """"",MyName_Phase6_PathFix,direct_set
