ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
1,2025-05-30T13:24:49.229331,NYC_GOID_000217,Name,Mayor’s Office of Housing Recovery Operations,Mayor's Office of Housing Recovery Operations,Agency_Name_QA_Edits.csv,"Fix ""Mayor's Office of Housing Recovery Operations""",AI_FullQATest_Phase6_FullQARun_Initial,direct_set
2,2025-05-30T13:24:49.232314,NYC_GOID_000000,Name,311,NYC311,Agency_Name_QA_Edits.csv,"311 refers to itself as ""NYC311"" on its website",AI_FullQATest_Phase6_FullQARun_Initial,direct_set
3,2025-05-30T13:24:49.235235,NYC_GOID_000029,Description,N/A,N/A,Agency_Name_QA_Edits.csv,Why is Queens BP the only BP with a description?,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
4,2025-05-30T13:24:49.235668,NYC_GOID_000050,Description,N/A,N/A,Agency_Name_QA_Edits.csv,"Description begins with ""This site is up for historical purposes only."" which makes it look inactive",AI_FullQATest_Phase6_FullQARun_Initial,policy_query
5,2025-05-30T13:24:49.236306,NYC_GOID_000312,AlternativeNames,N/A,N/A,Agency_Name_QA_Edits.csv,Mistakenly populated field - Children's Cabinet is unrelated to NYC & Company,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
6,2025-05-30T13:24:49.236555,NYC_GOID_000193,Acronym,,FDM,Agency_Name_QA_Edits.csv,FDM,AI_FullQATest_Phase6_FullQARun_Initial,direct_set
7,2025-05-30T13:24:49.236828,NYC_GOID_000248,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,MAYORS FUND is not an acronym,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
8,2025-05-30T13:24:49.237064,NYC_GOID_000318,Acronym,HH,H+H,Agency_Name_QA_Edits.csv,H+H rather than HH,AI_FullQATest_Phase6_FullQARun_Initial,direct_set
9,2025-05-30T13:24:49.237376,NYC_GOID_000234,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,PANY for Kings County Public Administrator appears to be an error,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
10,2025-05-30T13:24:49.237968,NYC_GOID_000277,AlternativeAcronyms,N/A,N/A,Agency_Name_QA_Edits.csv,Is this an error? AJC for Mayor's Office of Special Enforcement?,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
11,2025-05-30T13:24:49.238953,NYC_GOID_100001,OrganizationType,"Advisory, Oversight, or Regulatory Body",Advisory or Regulatory Organization,Agency_Name_QA_Edits.csv,Change value to 'Advisory or Regulatory Organization',AI_FullQATest_Phase6_FullQARun_Initial,direct_set
12,2025-05-30T13:24:49.239929,NYC_GOID_000252,PrincipalOfficerTitle,Deputy Executive Director,Executive Director,Agency_Name_QA_Edits.csv,Carson Hicks is now Executive Director,AI_FullQATest_Phase6_FullQARun_Initial,direct_set
13,2025-05-30T13:24:49.240206,NYC_GOID_000260,PrincipalOfficerTitle,Director,Senior Executive Director,Agency_Name_QA_Edits.csv,Title is currently Senior Executive Director,AI_FullQATest_Phase6_FullQARun_Initial,direct_set
14,2025-05-30T13:24:49.240517,NYC_GOID_000238,PrincipalOfficerTitle,Acting Corporation Counsel of the City of New York,Corporation Counsel of the City of New York,Agency_Name_QA_Edits.csv,"Removed 'Acting' prefix from 'Acting Corporation Counsel of the City of New York' to get 'Corporation Counsel of the City of New York'. Original feedback: 'Confirmed,so no longer Acting'",AI_FullQATest_Phase6_FullQARun_Initial,remove_acting_prefix
15,2025-05-30T13:24:49.240771,NYC_GOID_000268,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Jose Bayona has left the City,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
16,2025-05-30T13:24:49.241011,NYC_GOID_000276,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Betsy MacLean has left the City,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
17,2025-05-30T13:24:49.241243,NYC_GOID_100007,PrincipalOfficersName,N/A,N/A,Agency_Name_QA_Edits.csv,Ryan Birchmeier has left the City,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
18,2025-05-30T13:24:49.241720,NYC_GOID_000260,PrincipalOfficerContactURL,Non-existant,,Agency_Name_QA_Edits.csv,"Remove value of ""Non-existant""",AI_FullQATest_Phase6_FullQARun_Initial,blank_value
19,2025-05-30T13:24:49.242197,NYC_GOID_000166,FoundingYear,N/A,N/A,Agency_Name_QA_Edits.csv,We should be able to find the press release when Fabien Levy was made a DM,AI_FullQATest_Phase6_FullQARun_Initial,policy_query
20,2025-05-30T13:24:49.242534,NYC_GOID_000112,FoundingYear,N/A,N/A,Agency_Name_QA_Edits.csv,"As an Open Data Ambassador, I'm certain that COPIC has a founding year 😉",AI_FullQATest_Phase6_FullQARun_Initial,policy_query
